run,n,cls,epoch,edit,overall,index,type,err_type_only,err_index_only,err_both,typ_break,typ_fix,partner_frac
d63_seed2,63,A,3000,surgical,0.299320,0.305304,0.648904,0.008540,0.498921,0.492539,0.053666,0.046233,0.024648
d63_seed2,63,A,3000,noise_only,0.299467,0.305052,0.656589,0.007972,0.509786,0.482242,0.021962,0.022214,0.020098
d63_seed2,63,A,5000,base,0.302910,0.308831,0.670005,0.008494,0.526611,0.464896,,,
d63_seed2,63,A,5000,surgical,0.302154,0.308138,0.652368,0.008575,0.501850,0.489575,0.067271,0.049635,0.014045
d63_seed2,63,A,5000,noise_only,0.302637,0.308537,0.669690,0.008460,0.526344,0.465195,0.024691,0.024376,0.016943
d63_seed2,63,A,7000,base,0.305556,0.309587,0.732552,0.005805,0.614875,0.379320,,,
d63_seed2,63,A,7000,surgical,0.303981,0.309965,0.647707,0.008597,0.493846,0.497557,0.125535,0.040690,0.017060
d63_seed2,63,A,7000,noise_only,0.304947,0.309041,0.729109,0.005891,0.610259,0.383850,0.029919,0.026476,0.012605
d63_seed2,63,A,9000,base,0.314878,0.315760,0.956223,0.001287,0.936104,0.062609,,,
d63_seed2,63,A,9000,surgical,0.304800,0.309965,0.611489,0.007430,0.441152,0.551418,0.345238,0.000504,0.015143
d63_seed2,63,A,9000,noise_only,0.292664,0.293609,0.945137,0.001336,0.922437,0.076227,0.024649,0.013563,0.012748
d63_seed3,63,B,3000,base,0.305052,0.311476,0.653943,0.009245,0.502039,0.488716,,,
d63_seed3,63,B,3000,surgical,0.305367,0.312106,0.653754,0.009703,0.501542,0.488756,0.039116,0.038927,0.027375
d63_seed3,63,B,3000,noise_only,0.305220,0.311833,0.653292,0.009519,0.500982,0.489499,0.017532,0.016881,0.018930
d63_seed3,63,B,5000,base,0.307130,0.315004,0.652368,0.011364,0.498273,0.490364,,,
d63_seed3,63,B,5000,surgical,0.308264,0.316201,0.661691,0.011473,0.510927,0.477600,0.038486,0.047808,0.018003
d63_seed3,63,B,5000,noise_only,0.306899,0.314857,0.652452,0.011481,0.498561,0.489958,0.020576,0.020660,0.015270
d63_seed3,63,B,7000,base,0.312421,0.319224,0.664777,0.009894,0.512459,0.477647,,,
d63_seed3,63,B,7000,surgical,0.313429,0.320547,0.667737,0.010367,0.516055,0.473578,0.028786,0.031746,0.024070
d63_seed3,63,B,7000,noise_only,0.312631,0.319371,0.664567,0.009805,0.512005,0.478190,0.015096,0.014886,0.015010
d63_seed3,63,B,9000,base,0.321114,0.326720,0.679327,0.008258,0.527649,0.464094,,,
d63_seed3,63,B,9000,surgical,0.321492,0.327475,0.684933,0.008819,0.535648,0.455533,0.027337,0.032943,0.016129
d63_seed3,63,B,9000,noise_only,0.321974,0.327601,0.679432,0.008299,0.527205,0.464496,0.014550,0.014655,0.014809
d63_seed4,63,B,3000,base,0.305178,0.312106,0.667611,0.009972,0.521621,0.468407,,,
d63_seed4,63,B,3000,surgical,0.305052,0.311791,0.667800,0.009698,0.521980,0.468322,0.044407,0.044596,0.015603
d63_seed4,63,B,3000,noise_only,0.305031,0.311770,0.668871,0.009698,0.523534,0.466768,0.019022,0.020282,0.024420
d63_seed4,63,B,5000,base,0.308138,0.314815,0.687516,0.009650,0.548343,0.442007,,,
